Name   	 long 	 lat 	 X0 	 Y0 	 a 	 b 	 tita 	 V0 	 dV 	 D 	 MassMiss  	 MassShell 
GS103+07-018*   	        103.3 	         10.8 	        102.9 	          7.1 	          6.9 	          3.9 	         -7.9 	     -17500.0 	      20600.0 	          2.0 	      82800.0 
8.540000e+04   	 GS116-06-042*   	        116.9 	         -6.5 	        116.5 	         -6.1 	          2.2 	          2.1 	        -37.3 	     -42300.0 	      16500.0 	          3.8 	      18900.0 
慄   	 GS093-14-021*   	         92.2 	        -13.7 	         93.0 	        -14.3 	          5.5 	          5.0 	        -18.9 	     -20600.0 	      22700.0 	          3.5 	      45000.0 
8.880000e+04   	 GS120+16-067*   	        119.6 	         16.3 	        120.0 	         16.2 	          3.6 	          2.2 	        -13.3 	     -67000.0 	      22700.0 	          6.8 	      37900.0 
ｸ   	 GS109+06-032   	        108.5 	          6.5 	        109.3 	          5.7 	          3.0 	          2.1 	         17.1 	     -32000.0 	      20600.0 	          3.1 	      16500.0 
憨   	 GS098-25-018*   	         98.6 	        -24.8 	         97.9 	        -25.4 	          3.8 	          3.0 	         68.6 	     -17500.0 	      21600.0 	          2.6 	      10800.0 
⨰   	 GS100+09-040*   	         99.9 	          9.5 	        100.0 	          9.4 	          4.3 	          2.9 	         17.5 	     -40200.0 	      14400.0 	          4.7 	      29900.0 
킘   	 GS093+11-034*   	         92.7 	         11.3 	         92.6 	         11.1 	          2.2 	          1.3 	         26.8 	     -34000.0 	      19600.0 	          4.9 	      12800.0 
挸   	 GS098+24-032   	         97.9 	         23.6 	         97.5 	         24.1 	          2.2 	          1.8 	         27.8 	     -32000.0 	      27800.0 	          4.3 	       8060.0 
╎   	 GS101-13-056*   	        101.9 	        -14.7 	        101.3 	        -12.8 	          5.8 	          3.3 	         25.5 	     -55700.0 	      36100.0 	          6.2 	     169000.0 
2.400000e+05   	 GS105-03-061   	        105.1 	         -5.2 	        104.9 	         -2.7 	          3.3 	          2.7 	         87.1 	     -60800.0 	      16500.0 	          6.3 	     124000.0 
2.240000e+05   	 GS110-04-067   	        109.7 	         -5.3 	        109.6 	         -4.5 	          2.3 	          1.9 	         -8.9 	     -67000.0 	      32000.0 	          6.7 	      71500.0 
7.800000e+04   	 GS108+00-075*   	        107.7 	          0.1 	        107.5 	          0.5 	          1.6 	          1.4 	         18.4 	     -75200.0 	      18600.0 	          7.8 	      28600.0 
뙬   	 GS117+08-076*   	        118.7 	          8.8 	        117.0 	          7.8 	          3.1 	          2.1 	         -0.6 	     -76300.0 	      19600.0 	          7.8 	      39200.0 
홴   	 GS202+05+031   	        201.4 	          5.7 	        201.6 	          5.3 	          2.1 	          1.7 	         19.8 	      30900.0 	      20600.0 	          5.4 	       9220.0 
䏸   	 GS139+06-054*   	        140.1 	          5.9 	        139.4 	          5.9 	          2.3 	          2.0 	        -30.2 	     -53600.0 	       9200.0 	          5.9 	       8720.0 
紀   	 GS142-01-057   	        142.2 	         -1.7 	        141.8 	         -1.3 	          2.0 	          1.9 	        122.5 	     -56700.0 	      12400.0 	          6.8 	      12600.0 
佌   	 GS153-10-026*   	        152.9 	        -11.2 	        152.8 	         -9.7 	          2.7 	          2.1 	         12.6 	     -25800.0 	      10300.0 	          3.1 	      15500.0 
㲌   	 GS130+00-068*   	        129.5 	         -0.7 	        129.7 	         -0.1 	          1.5 	          0.9 	        -28.2 	     -68000.0 	       6200.0 	          7.0 	       8250.0 
㭠   	 GS161+03-036   	        161.0 	          3.7 	        160.7 	          3.0 	          2.6 	          2.1 	         37.0 	     -36100.0 	       8200.0 	          8.6 	     194000.0 
3.450000e+05   	 GS218-05+037*   	        218.2 	         -4.2 	        217.7 	         -4.6 	          3.1 	          2.2 	        -29.5 	      37100.0 	       5200.0 	          3.6 	       8030.0 
Ὠ   	 GS224-18+036   	        223.5 	        -18.6 	        224.4 	        -18.2 	          3.2 	          2.9 	         63.0 	      36100.0 	      16500.0 	          3.4 	       2190.0 
ஆ   	 GS240-13+064*   	        239.0 	        -13.4 	        240.0 	        -12.8 	          3.1 	          1.7 	         13.4 	      63900.0 	      13400.0 	          6.3 	      14500.0 
㺀   	 GS257+09+037   	        256.7 	          9.8 	        256.8 	          9.3 	          3.7 	          2.8 	        -12.9 	      37100.0 	      23700.0 	          4.0 	      28600.0 
심   	 GS257-25+030*   	        257.2 	        -25.0 	        256.9 	        -24.5 	          3.0 	          1.6 	         39.9 	      29900.0 	      13400.0 	          3.6 	       3040.0 
᚞   	 GS262-09+048*   	        260.8 	        -12.2 	        261.8 	         -9.3 	          4.4 	          3.7 	        -30.4 	      48400.0 	      17500.0 	          5.6 	      39500.0 
힠   	 GS264-04+044   	        264.2 	         -4.6 	        264.2 	         -4.3 	          1.8 	          1.4 	        -12.7 	      44300.0 	       7200.0 	          5.5 	      22300.0 
願   	 GS252-04+074*   	        252.0 	         -2.9 	        251.6 	         -4.0 	          3.5 	          3.0 	        -27.7 	      74200.0 	       9300.0 	          7.6 	      78200.0 
1.140000e+05   	 GS263-08+068*   	        263.1 	         -8.7 	        262.5 	         -7.9 	          5.2 	          2.6 	        -17.5 	      68000.0 	      17500.0 	          7.9 	     119000.0 
1.370000e+05   	 GS089-21-025*   	         91.1 	        -21.4 	         88.9 	        -21.0 	          6.9 	          4.0 	         -1.5 	     -24700.0 	      11300.0 	          4.3 	      40500.0 
罘   	 GS109+16-033*   	        109.2 	         16.9 	        109.4 	         16.4 	          3.9 	          2.4 	        132.5 	     -33000.0 	      42500.0 	          3.3 	      72400.0 
ｸ   	 GS120+08-028   	        121.7 	          9.3 	        120.1 	          8.4 	          4.1 	          3.4 	          6.2 	     -27800.0 	      27800.0 	          2.3 	      19700.0 
紀   	 GS153-10-026*   	        152.9 	        -11.2 	        152.8 	         -9.7 	          2.7 	          2.1 	         12.6 	     -25800.0 	      10300.0 	          3.1 	      10100.0 
䖈   	 GS247+06+055*   	        246.2 	          6.4 	        246.6 	          5.7 	          1.7 	          1.5 	        -42.5 	      54600.0 	      11300.0 	          5.2 	      11200.0 
≖   	 GS246-05+086   	        245.7 	         -4.7 	        245.6 	         -4.5 	          1.1 	          0.7 	         -2.9 	      85500.0 	      12400.0 	          9.0 	      19400.0 
桌   	 GS142-01-057   	        142.2 	         -1.7 	        141.8 	         -1.3 	          2.0 	          1.9 	        122.5 	     -56700.0 	      12400.0 	          6.8 	     101000.0 
7.860000e+04   	 268+00+108   	        268.4 	          0.3 	        268.3 	         -0.4 	          2.2 	          1.7 	          0.1 	     108200.0 	      11300.0 	         14.0 	          NaN 
NaN   	 268+06+036*   	        268.1 	          6.3 	        268.0 	          5.9 	          2.2 	          1.8 	         56.9 	      36100.0 	      15500.0 	          5.2 	          NaN 
NaN   	 266-05+096*   	        266.1 	         -4.5 	        266.2 	         -4.7 	          2.6 	          2.0 	        -21.8 	      95800.0 	      13400.0 	         11.8 	          NaN 
NaN   	 265-10+080*   	        266.2 	        -10.7 	        265.4 	        -10.4 	          1.8 	          1.7 	        -32.2 	      80400.0 	      10300.0 	          9.8 	          NaN 
NaN   	 265+05+043*   	        265.5 	          5.8 	        264.9 	          4.7 	          3.5 	          2.2 	        120.7 	      43300.0 	      10300.0 	          5.5 	          NaN 
NaN   	 264+23+019*   	        267.2 	         24.3 	        264.3 	         23.3 	          6.8 	          5.8 	        117.0 	      18600.0 	       5200.0 	          3.3 	          NaN 
NaN   	 263-02+093   	        263.2 	         -1.3 	        262.9 	         -1.6 	          1.4 	          0.9 	         11.6 	      92800.0 	       8200.0 	         10.9 	          NaN 
NaN   	 263+09+042*   	        262.7 	          9.8 	        262.5 	          8.6 	          2.6 	          2.1 	         47.4 	      42300.0 	      18600.0 	          5.2 	          NaN 
NaN   	 262-08+091*   	        261.8 	         -8.8 	        262.3 	         -8.4 	          1.9 	          1.6 	         -7.4 	      90700.0 	      12400.0 	         10.7 	          NaN 
NaN   	 262-01+110   	        262.0 	         -0.7 	        262.2 	         -1.5 	          1.4 	          0.9 	         69.5 	     110300.0 	       6200.0 	         13.6 	          NaN 
NaN   	 260-05+104   	        259.5 	         -5.4 	        259.9 	         -5.3 	          1.8 	          1.2 	          0.5 	     104100.0 	       6200.0 	         12.4 	          NaN 
NaN   	 258+22+020   	        258.1 	         22.3 	        257.7 	         21.7 	          5.3 	          3.1 	         75.6 	      19600.0 	      11300.0 	          2.5 	          NaN 
NaN   	 256+00+079   	        255.7 	          0.3 	        255.9 	         -0.2 	          1.4 	          1.2 	         18.0 	      79400.0 	       6200.0 	          8.5 	          NaN 
NaN   	 254-05+080   	        254.1 	         -6.2 	        254.2 	         -5.3 	          2.8 	          2.1 	          0.1 	      80400.0 	       9300.0 	          8.6 	          NaN 
NaN   	 254+30+016*   	        253.9 	         28.6 	        254.1 	         30.0 	          7.9 	          4.7 	         57.5 	      16500.0 	      13400.0 	          2.0 	          NaN 
NaN   	 252-03+039   	        252.4 	         -2.4 	        252.4 	         -3.1 	          2.1 	          1.3 	         81.7 	      39200.0 	      10300.0 	          3.9 	          NaN 
NaN   	 252+02+052*   	        252.1 	          2.6 	        252.1 	          2.3 	          2.4 	          1.5 	          5.4 	      51500.0 	       9300.0 	          5.1 	          NaN 
NaN   	 252-21+031*   	        249.6 	        -21.5 	        251.9 	        -21.5 	          6.5 	          3.6 	        115.1 	      30900.0 	      10300.0 	          3.1 	          NaN 
NaN   	 252+04+064*   	        250.7 	          3.9 	        251.6 	          3.7 	          2.1 	          1.2 	         10.4 	      63900.0 	      14400.0 	          6.3 	          NaN 
